Initialising fast UCB table... done
Time in this step: 0.00882086
Time in this step: 0.0081189
Time in this step: 0.00903552
Time in this step: 0.00873369
Time in this step: 0.00738441
Time in this step: 0.00561917
Time in this step: 0.00275477
Terminated
Discounted return = -6.25156, average = 3.98035
Undiscounted return = 0, average = 14.5455
Starting run 12 with 256 simulations... 
Time in this step: 0.0127006
Time in this step: 0.0122963
Time in this step: 0.0120619
Time in this step: 0.0122833
Time in this step: 0.0120656
Time in this step: 0.0123259
Time in this step: 0.0128522
Time in this step: 0.0120222
Time in this step: 0.0113153
Time in this step: 0.0116828
Time in this step: 0.0126716
Time in this step: 0.0123994
Time in this step: 0.01201
Time in this step: 0.0115054
Time in this step: 0.0109423
Time in this step: 0.0112053
Time in this step: 0.010212
Time in this step: 0.0105099
Time in this step: 0.0100953
Time in this step: 0.00974403
Time in this step: 0.0101829
Time in this step: 0.00851694
Time in this step: 0.00915913
Time in this step: 0.00863236
Time in this step: 0.00731693
Time in this step: 0.00706378
Time in this step: 0.00518748
Time in this step: 0.00236948
Terminated
Discounted return = -18.1597, average = 2.13535
Undiscounted return = -30, average = 10.8333
Starting run 13 with 256 simulations... 
Time in this step: 0.0125999
Time in this step: 0.0127044
Time in this step: 0.0128891
Time in this step: 0.0127249
Time in this step: 0.0128222
Time in this step: 0.0128979
Time in this step: 0.0127705
Time in this step: 0.0126014
Time in this step: 0.0128127
Time in this step: 0.0127481
Time in this step: 0.0126433
Time in this step: 0.0126211
Time in this step: 0.0124244
Time in this step: 0.0115643
Time in this step: 0.0112478
Time in this step: 0.0102541
Time in this step: 0.00991578
Time in this step: 0.00957405
Time in this step: 0.00855771
Time in this step: 0.00654385
Time in this step: 0.00298308
Terminated
Discounted return = 13.3512, average = 2.9981
Undiscounted return = 30, average = 12.3077
Starting run 14 with 256 simulations... 
Time in this step: 0.0128392
Time in this step: 0.0126666
Time in this step: 0.0123462
Time in this step: 0.0126358
Time in this step: 0.0122711
Time in this step: 0.011826
Time in this step: 0.0116929
Time in this step: 0.0117383
Time in this step: 0.0121876
Time in this step: 0.0120058
Time in this step: 0.0119585
Time in this step: 0.0116293
Time in this step: 0.0110986
Time in this step: 0.0112805
Time in this step: 0.0106884
Time in this step: 0.0107075
Time in this step: 0.011145
Time in this step: 0.0107483
Time in this step: 0.0107027
Time in this step: 0.0096827
Time in this step: 0.00941734
Time in this step: 0.00779123
Time in this step: 0.00757658
Time in this step: 0.00693424
Time in this step: 0.0055033
Time in this step: 0.00292541
Terminated
Discounted return = 6.58645, average = 3.25441
Undiscounted return = 10, average = 12.1429
Starting run 15 with 256 simulations... 
Time in this step: 0.0131927
Time in this step: 0.012505
Time in this step: 0.0129117
Time in this step: 0.012671
Time in this step: 0.01274
Time in this step: 0.0126524
Time in this step: 0.0126205
Time in this step: 0.0124375
Time in this step: 0.012367
Time in this step: 0.0126024
Time in this step: 0.0123531
Time in this step: 0.0125228
Time in this step: 0.0125255
Time in this step: 0.0124134
Time in this step: 0.0125972
Time in this step: 0.0124809
Time in this step: 0.0125517
Time in this step: 0.0124902
Time in this step: 0.0125061
Time in this step: 0.0127478
Time in this step: 0.0122676
Time in this step: 0.0123079
